# time(ISO) elevation(m) distance(km) velocity(km/h)
2015-03-20T06:15:08 1171.450000 1.834454 2.050566
2015-03-20T06:15:24 1174.580000 1.850682 3.651433
2015-03-20T06:15:42 1177.780000 1.860992 2.061948
2015-03-20T06:15:58 1180.030000 1.868046 1.587177
2015-03-20T06:16:11 1182.030000 1.874830 1.878575
2015-03-20T06:16:24 1184.900000 1.890183 4.251436
2015-03-20T06:16:34 1187.410000 1.896401 2.238627
2015-03-20T06:16:50 1190.500000 1.904949 1.923207
2015-03-20T06:16:54 1191.200000 1.906801 1.667094
2015-03-20T06:17:16 1191.430000 1.908565 0.288697
2015-03-20T06:17:31 1194.550000 1.912663 0.983538
2015-03-20T06:17:56 1194.680000 1.915273 0.375846
2015-03-20T06:17:58 1194.710000 1.915984 1.278969
2015-03-20T06:18:25 1197.390000 1.924947 1.195062
2015-03-20T06:18:41 1200.390000 1.934592 2.170245
2015-03-20T06:18:48 1201.750000 1.937332 1.408959
2015-03-20T06:19:11 1203.510000 1.943523 0.968989
2015-03-20T06:19:32 1206.720000 1.954662 1.909600
2015-03-20T06:19:45 1209.970000 1.959447 1.325016
2015-03-20T06:20:00 1213.020000 1.968512 2.175737
2015-03-20T06:20:22 1215.230000 1.985699 2.812349
2015-03-20T06:20:30 1215.810000 1.988885 1.433520
2015-03-20T06:20:57 1219.020000 2.014204 3.375894
2015-03-20T06:21:16 1222.260000 2.030301 3.049994
2015-03-20T06:21:32 1225.480000 2.045307 3.376418
2015-03-20T06:21:47 1228.730000 2.056513 2.689493
2015-03-20T06:22:01 1231.800000 2.064061 1.940743
2015-03-20T06:22:16 1234.950000 2.071335 1.745853
2015-03-20T06:22:22 1236.180000 2.073759 1.454315
2015-03-20T06:22:36 1239.340000 2.081902 2.093984
2015-03-20T06:22:54 1242.750000 2.095750 2.769577
2015-03-20T06:23:13 1245.830000 2.108756 2.464278
2015-03-20T06:23:34 1248.990000 2.121057 2.108645
2015-03-20T06:23:56 1252.030000 2.134469 2.194816
2015-03-20T06:24:05 1253.000000 2.136364 0.758048
2015-03-20T06:24:24 1256.110000 2.147752 2.157570
2015-03-20T06:24:39 1259.290000 2.159208 2.749645
2015-03-20T06:25:00 1261.920000 2.176852 3.024555
2015-03-20T06:25:05 1261.970000 2.178762 1.375341
2015-03-20T06:25:08 1262.020000 2.183283 5.425044
2015-03-20T06:25:27 1265.150000 2.188842 1.053330
2015-03-20T06:25:29 1265.500000 2.192327 6.272211
2015-03-20T06:25:46 1267.140000 2.203538 2.374226
2015-03-20T06:25:55 1267.430000 2.206288 1.100038
2015-03-20T06:26:08 1267.640000 2.209445 0.874309
2015-03-20T06:26:23 1270.570000 2.216646 1.728023
2015-03-20T06:26:26 1271.070000 2.219407 3.313351
2015-03-20T06:26:43 1273.890000 2.232010 2.668851
2015-03-20T06:26:57 1275.680000 2.238260 1.607227
2015-03-20T06:27:13 1278.660000 2.250987 2.863604
2015-03-20T06:27:20 1279.990000 2.253648 1.368453
2015-03-20T06:27:37 1281.200000 2.257549 0.826200
2015-03-20T06:27:53 1283.760000 2.268668 2.501634
2015-03-20T06:28:06 1285.670000 2.278431 2.703531
2015-03-20T06:28:21 1287.150000 2.285872 1.786013
2015-03-20T06:28:31 1288.140000 2.292752 2.476534
2015-03-20T06:28:34 1288.350000 2.295651 3.479238
2015-03-20T06:28:40 1289.440000 2.300805 3.092727
2015-03-20T06:28:42 1289.670000 2.302591 3.214820
2015-03-20T06:28:55 1291.420000 2.313257 2.953457
2015-03-20T06:29:07 1293.740000 2.323577 3.096113
2015-03-20T06:29:18 1295.410000 2.331514 2.597442
2015-03-20T06:29:33 1296.140000 2.336032 1.084419
2015-03-20T06:29:46 1297.790000 2.345407 2.596139
2015-03-20T06:30:01 1300.690000 2.355084 2.322356
2015-03-20T06:30:08 1301.620000 2.365843 5.533191
2015-03-20T06:30:23 1303.000000 2.381801 3.830089
2015-03-20T06:30:30 1304.260000 2.386231 2.278201
2015-03-20T06:30:46 1305.770000 2.392847 1.488594
2015-03-20T06:30:54 1306.060000 2.403354 4.728180
2015-03-20T06:30:59 1306.100000 2.407512 2.993571
2015-03-20T06:31:03 1306.140000 2.410002 2.241117
2015-03-20T06:31:16 1305.400000 2.418737 2.418784
2015-03-20T06:31:21 1306.450000 2.421522 2.005331
2015-03-20T06:31:32 1308.360000 2.426185 1.526153
2015-03-20T06:31:47 1310.390000 2.431212 1.206578
2015-03-20T06:31:54 1311.640000 2.436030 2.477481
2015-03-20T06:32:05 1312.960000 2.446740 3.505240
2015-03-20T06:32:19 1314.610000 2.460026 3.416428
2015-03-20T06:32:36 1317.260000 2.472236 2.585674
2015-03-20T06:32:51 1319.420000 2.484144 2.857784
2015-03-20T06:33:07 1321.970000 2.500059 3.580819
2015-03-20T06:33:22 1324.750000 2.510528 2.512615
2015-03-20T06:33:36 1326.420000 2.521949 2.936898
2015-03-20T06:33:51 1329.170000 2.531096 2.195240
2015-03-20T06:34:05 1331.570000 2.533520 0.623453
2015-03-20T06:34:18 1333.720000 2.537207 1.021010
2015-03-20T06:34:34 1335.100000 2.542751 1.247251
2015-03-20T06:34:50 1338.110000 2.548949 1.394547
2015-03-20T06:35:03 1340.740000 2.559003 2.784256
2015-03-20T06:35:10 1341.800000 2.560557 0.799332
2015-03-20T06:35:24 1345.040000 2.569769 2.368635
2015-03-20T06:35:37 1348.060000 2.574510 1.312896
2015-03-20T06:35:49 1350.450000 2.582169 2.297879
2015-03-20T06:35:57 1352.190000 2.588227 2.725855
2015-03-20T06:36:05 1353.720000 2.595959 3.479554
2015-03-20T06:36:20 1355.780000 2.602421 1.550837
2015-03-20T06:36:34 1358.780000 2.606203 0.972554
2015-03-20T06:36:47 1361.360000 2.611275 1.404664
2015-03-20T06:37:00 1363.110000 2.615974 1.301130
